City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
180,Praia Da Vitoria,PT,38.7333,-27.0667,53.6,82,40,17.0,scattered clouds
181,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,1,8.05,clear sky
182,Maputo,MZ,-25.9653,32.5892,75.0,94,75,6.91,broken clouds
183,Tautira,PF,-17.7333,-149.15,86.0,70,40,8.05,scattered clouds
184,Nanortalik,GL,60.1432,-45.2371,36.45,95,100,5.5,light rain
185,Nikolskoye,RU,59.7035,30.7861,24.8,86,75,8.95,light snow
186,Saskylakh,RU,71.9167,114.0833,-24.36,85,84,6.73,broken clouds
187,San Cristobal,VE,7.7669,-72.225,64.89,83,53,1.45,light rain
188,Madison,US,34.7334,-86.5667,36.0,100,90,5.37,light rain
189,Mounana,GA,-1.4085,13.1586,69.64,95,96,2.8,overcast clouds
190,Arlit,NE,18.7369,7.3853,70.52,22,0,4.34,clear sky
191,Aleksandrov Gay,RU,50.147,48.5704,26.28,98,100,11.97,overcast clouds
192,Bilibino,RU,68.0546,166.4372,-13.4,86,100,0.16,overcast clouds
193,Lima,PE,-12.0432,-77.0282,69.8,83,0,12.66,clear sky
194,Arambagh,IN,22.8833,87.7833,80.04,37,51,8.16,broken clouds
195,Calape,PH,9.8922,123.8748,82.4,78,75,16.11,broken clouds
196,Tommot,RU,58.9564,126.2925,-4.77,87,100,11.39,light snow
197,Salinopolis,BR,-0.6136,-47.3561,79.99,82,19,9.62,few clouds
198,Alofi,NU,-19.0595,-169.9187,86.0,66,5,9.22,moderate rain
199,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,72,20,2.3,few clouds
200,Jumla,NP,29.2747,82.1838,54.16,26,10,3.13,clear sky
201,Praia,CV,14.9215,-23.5087,71.6,83,0,11.5,clear sky
202,Hovd,MN,48.0056,91.6419,-8.81,78,11,0.6,few clouds
203,Solnechnyy,RU,50.7214,136.6319,-10.62,83,83,4.21,broken clouds
204,Isangel,VU,-19.55,169.2667,86.0,74,75,5.75,broken clouds
205,Batagay,RU,67.6333,134.6333,-20.63,86,100,3.04,overcast clouds
206,Jatai,BR,-17.8814,-51.7144,68.61,94,92,2.93,overcast clouds
207,Balkanabat,TM,39.5108,54.3671,36.93,62,77,5.82,broken clouds
208,Geghamasar,AM,40.3109,45.6792,24.06,75,2,2.01,clear sky
209,Sylvania,US,41.7189,-83.713,32.0,74,90,6.91,overcast clouds
210,Makasar,ID,-5.14,119.4221,80.6,83,40,5.75,scattered clouds
211,Hami,CN,42.8,93.45,15.55,58,72,4.94,broken clouds
212,Bressanone,IT,46.715,11.656,25.0,65,4,3.44,clear sky
213,Esperance,AU,-33.8667,121.9,87.8,19,20,10.36,few clouds
214,Leh,IN,34.1667,77.5833,13.05,79,93,3.27,overcast clouds
215,Vila Franca Do Campo,PT,37.7167,-25.4333,53.6,62,40,14.97,scattered clouds
216,Hay River,CA,60.8156,-115.7999,21.2,73,0,6.91,clear sky
217,Abalak,RU,58.1286,68.5944,-4.36,91,100,8.68,overcast clouds
218,Jasper,US,37.2001,-94.3502,34.0,86,90,6.91,overcast clouds
219,Barkhan,PK,29.8977,69.5256,40.84,56,0,5.55,clear sky
220,Kiama,AU,-34.6833,150.8667,70.0,82,90,10.36,overcast clouds
221,Itaituba,BR,-4.2761,-55.9836,76.28,77,15,1.92,few clouds
222,Ochakiv,UA,46.6128,31.5498,35.6,100,0,7.29,clear sky
223,Thabazimbi,ZA,-24.5917,27.4116,69.01,84,96,1.01,light rain
224,Izumo,JP,35.3667,132.7667,28.4,86,75,17.27,light snow
225,Sambava,MG,-14.2667,50.1667,77.36,84,10,6.53,clear sky
226,Kilindoni,TZ,-7.9139,39.6668,80.82,79,61,12.39,broken clouds
227,Bambous Virieux,MU,-20.3428,57.7575,80.01,78,40,9.22,scattered clouds
228,Tungor,RU,53.3808,142.9564,-16.62,84,95,16.75,overcast clouds
229,Palamos,ES,41.8484,3.1291,37.99,25,54,13.27,broken clouds
230,Ambilobe,MG,-13.2,49.05,77.04,85,0,1.95,clear sky
231,Westport,US,41.1415,-73.3579,30.99,69,1,6.91,clear sky
232,Pevek,RU,69.7008,170.3133,-10.25,91,100,3.11,overcast clouds
233,Ilulissat,GL,69.2167,-51.1,10.4,72,75,5.75,broken clouds
234,Mpika,ZM,-11.8343,31.4529,62.4,95,51,1.77,broken clouds
235,College,US,64.8569,-147.8028,3.2,78,75,3.4,broken clouds
236,Tank,PK,32.2217,70.3793,55.76,36,0,7.43,clear sky
237,Shizuishan,CN,39.2333,106.7694,11.12,49,0,1.74,clear sky
238,Atikokan,CA,48.7555,-91.6216,18.79,98,45,3.33,scattered clouds
239,Ayagoz,KZ,47.9714,80.4392,-0.69,88,100,5.5,overcast clouds
240,Antofagasta,CL,-23.65,-70.4,66.2,82,0,6.91,clear sky
241,Marzuq,YE,14.4,46.4667,52.12,44,0,2.95,clear sky
242,Ozernovskiy,RU,51.5,156.5167,21.4,84,100,8.32,overcast clouds
243,Tuatapere,NZ,-46.1333,167.6833,62.01,67,63,11.01,broken clouds
244,Flin Flon,CA,54.7682,-101.865,21.07,95,83,6.06,broken clouds
245,Kaeo,NZ,-35.1,173.7833,77.0,68,77,5.99,broken clouds
246,Katherine,AU,-14.4667,132.2667,95.0,49,40,6.91,scattered clouds
247,El Limon,VE,10.3059,-67.6321,72.23,88,94,3.91,overcast clouds
248,Lazarevac,RS,44.3853,20.2557,39.2,93,40,4.61,light rain
249,Aswan,EG,24.0934,32.907,62.01,41,0,7.94,clear sky
250,Paka,MY,4.6374,103.4368,80.6,89,40,9.22,scattered clouds
251,Mao,ES,39.8885,4.2658,44.6,87,90,18.41,overcast clouds
252,Chuy,UY,-33.6971,-53.4616,65.5,84,0,5.55,clear sky
253,San Patricio,US,28.017,-97.5169,53.6,40,1,3.44,clear sky
254,Te Anau,NZ,-45.4167,167.7167,66.07,48,8,5.41,clear sky
255,Hambantota,LK,6.1241,81.1185,77.0,100,75,2.3,broken clouds
256,Klaksvik,FO,62.2266,-6.589,30.2,69,90,5.75,overcast clouds
257,Namibe,AO,-15.1961,12.1522,70.32,81,94,5.82,overcast clouds
258,Krasnoselkup,RU,65.7,82.4667,-13.59,83,6,16.82,clear sky
