City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
350,Maningrida,AU,89.13,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
353,Mitsamiouli,KM,81.5,light rain,-11.3847,43.2844,Foyer ADM
354,Sumbe,AO,75.0,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
357,Honiara,SB,80.53,moderate rain,-9.4333,159.95,Heritage Park Hotel
361,Domoni,KM,80.31,light rain,-12.2569,44.5319,Al Djadid
362,Kinablangan,PH,82.4,overcast clouds,7.6947,126.5503,Danny Moreno Property
364,Isla Mujeres,MX,75.99,light rain,21.2311,-86.731,Hotel La Joya Isla Mujeres
367,Miri,MY,82.4,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
376,Souillac,MU,77.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
377,Lampang,TH,82.4,broken clouds,18.3333,99.5,Mrs Luis Guest House
379,Kabanjahe,ID,80.6,broken clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
380,Katobu,ID,87.19,light rain,-4.9408,122.5276,La Ode Husein
381,Victor Harbor,AU,90.0,clear sky,-35.5667,138.6167,McCracken Country Club
383,Deniliquin,AU,88.21,clear sky,-35.5333,144.9667,Riviana Motel
387,Ocos,GT,77.0,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
392,Pakokku,MM,80.67,broken clouds,21.3333,95.1,Royal Palace Motel
393,Cabedelo,BR,78.8,few clouds,-6.9811,-34.8339,Lua Mansa Pousada
394,Cravo Norte,CO,75.33,light rain,6.3017,-70.2041,Hotel Potosí Los Mirtos
395,Bac Lieu,VN,83.01,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
399,Faanui,PF,81.09,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
400,Ciudad Guayana,VE,75.0,overcast clouds,8.3533,-62.6528,Hotel Las Americas
401,Inhambane,MZ,76.17,broken clouds,-23.865,35.3833,Oceano
406,Tecoanapa,MX,75.52,broken clouds,16.5167,-98.75,Hotel Manglares
408,Chateaubelair,VC,80.6,broken clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
411,Sorong,ID,83.64,overcast clouds,-0.8833,131.25,The Waigo Hotel
428,Sakassou,CI,75.2,overcast clouds,7.4546,-5.2926,Parents de Damienne
441,Lufilufi,WS,87.8,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
445,Manta,EC,77.0,broken clouds,-0.95,-80.7333,Balandra Hotel
451,Quatre Cocos,MU,80.01,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
462,Puerto Escondido,MX,75.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
475,Padang,ID,87.67,broken clouds,-0.9492,100.3543,Mercure Padang
478,Noumea,NC,90.0,light rain,-22.2763,166.4572,Hôtel Le Lagon
481,Parana,AR,77.0,clear sky,-31.732,-60.5238,Howard Johnson Plaza Hotel Mayorazgo
490,Labuhan,ID,80.04,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
491,Emerald,AU,78.8,overcast clouds,-23.5333,148.1667,The Irish Village
493,Banjarmasin,ID,82.4,few clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
501,Bonthe,SL,77.94,broken clouds,7.5264,-12.505,Bonthe Holiday Village
505,Gboko,NG,75.63,overcast clouds,7.3179,8.9951,Bays Garden Hotel
508,Itarema,BR,80.11,scattered clouds,-2.9248,-39.9167,Windvillage
509,Nabire,ID,86.9,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
510,Atambua,ID,81.68,moderate rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
518,Kavaratti,IN,81.61,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
523,Bani,DO,75.99,clear sky,18.2833,-70.3333,Hospedaje Henriquez
524,The Valley,AI,75.99,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
530,Kupang,ID,84.2,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
532,Porto Novo,BJ,79.65,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
536,Rio De Janeiro,BR,84.2,scattered clouds,-22.9028,-43.2075,Windsor Guanabara Hotel
